length_years,start,valued_at,contributions,strategy_xirr,index_xirr,spread
10,1989-07-01,1999-06-30,40,0.23226853974029132,0.21557967844385445,0.016688861296436874
10,1989-10-01,1999-09-30,40,0.22628393237129904,0.1969769777129722,0.029306954658326834
10,1990-01-01,1999-12-31,40,0.25001139072609524,0.21620684422378966,0.03380454650230558
10,1990-04-01,2000-03-31,40,0.24659290952875698,0.2140556366490745,0.03253727287968247
10,1990-07-01,2000-06-30,40,0.23740547322504338,0.2023286733159241,0.03507679990911927
10,1990-10-01,2000-09-30,40,0.24758414906193457,0.19394545515306436,0.053638693908870216
10,1991-01-01,2000-12-31,40,0.21429063641983698,0.1711062301162367,0.043184406303600265
10,1991-04-01,2001-03-31,40,0.19312609544035017,0.14047156762067664,0.05265452781967353
10,1991-07-01,2001-06-30,40,0.21410476382284674,0.1445468960596596,0.06955786776318715
10,1991-10-01,2001-09-30,40,0.1683929873521482,0.1085661926350741,0.0598267947170741
10,1992-01-01,2001-12-31,40,0.17586357702609673,0.12125950966770213,0.0546040673583946
10,1992-04-01,2002-03-31,40,0.1649942851409912,0.1159506059089799,0.049043679232011306
10,1992-07-01,2002-06-30,40,0.11996585359045746,0.08280682643094145,0.03715902715951601
10,1992-10-01,2002-09-30,40,0.08188748752767885,0.04103226971310758,0.04085521781457127
10,1993-01-01,2002-12-31,40,0.08054632708982849,0.05091667252204715,0.02962965456778134
10,1993-04-01,2003-03-31,40,0.07927426033630827,0.03950612998176659,0.03976813035454168
10,1993-07-01,2003-06-30,40,0.09525936756416159,0.06167294874997393,0.03358641881418766
10,1993-10-01,2003-09-30,40,0.10569875039139383,0.060950827572810375,0.044747922818583453
10,1994-01-01,2003-12-31,40,0.10280742724840444,0.07696063561338627,0.02584679163501817
10,1994-04-01,2004-03-31,40,0.09000337287887727,0.074204518474346,0.01579885440453127
10,1994-07-01,2004-06-30,40,0.09287652090812058,0.07085360393948538,0.022022916968635203
10,1994-10-01,2004-09-30,40,0.08664451726600714,0.06053093204723539,0.026113585218771745
10,1995-01-01,2004-12-31,40,0.10431841049008093,0.07059444596139625,0.03372396452868469
10,1995-04-01,2005-03-31,40,0.08938015348885486,0.05947566871330312,0.029904484775551743
10,1995-07-01,2005-06-30,40,0.07303002288890573,0.055771934549547514,0.017258088339358213
