date,ticker,action,amount,origin_date
2001-07-01,GE,rebuy,943.9658524342092,1998-01-01
2001-07-01,GE,rebuy,798.1625979004268,1998-04-01
2001-07-01,GE,rebuy,756.5861905685026,1998-07-01
2001-07-01,GE,rebuy,422.9819519793785,2000-07-01
2001-07-01,GE,rebuy,385.85201494963115,2000-10-01
2002-07-01,GE,trailing_stop_sell,304.77123760880653,2001-01-01
2002-07-01,GE,trailing_stop_sell,347.7670326818668,2001-04-01
2002-07-01,GE,trailing_stop_sell,1724.3468146362168,1995-01-01
2002-07-01,GE,trailing_stop_sell,1616.3542807541533,1995-04-01
2002-07-01,GE,trailing_stop_sell,1536.9236093141576,1995-07-01
2002-07-01,GE,trailing_stop_sell,1350.449221131878,1995-10-01
2002-07-01,GE,trailing_stop_sell,1188.0845074370097,1996-01-01
2002-07-01,GE,trailing_stop_sell,1071.2469970064642,1996-04-01
2002-07-01,GE,trailing_stop_sell,969.39040291925,1996-07-01
2002-07-01,GE,trailing_stop_sell,928.5975254642414,1996-10-01
2002-07-01,GE,trailing_stop_sell,846.8300566941884,1997-01-01
2002-07-01,GE,trailing_stop_sell,844.706052885661,1997-04-01
2002-07-01,GE,trailing_stop_sell,626.3844055785388,1997-07-01
2002-07-01,GE,trailing_stop_sell,602.8133769116888,1997-10-01
2002-07-01,GE,trailing_stop_sell,560.8897215890972,1998-01-01
2002-07-01,GE,trailing_stop_sell,474.2557118615714,1998-04-01
2002-07-01,GE,trailing_stop_sell,449.55166195029227,1998-07-01
2002-07-01,GE,trailing_stop_sell,251.3292495392058,2000-07-01
2002-07-01,GE,trailing_stop_sell,229.2672226242151,2000-10-01
2002-07-01,GE,trailing_stop_sell,297.09216712804186,2001-07-01
2002-07-01,GE,trailing_stop_sell,383.7693795181573,2001-10-01
2002-07-01,GE,trailing_stop_sell,358.80645723279,2002-01-01
2002-07-01,MSFT,rebuy,525.4956965943119,1998-10-01
2002-07-01,MSFT,rebuy,394.2994591044827,1999-01-01
2002-07-01,MSFT,rebuy,294.99339799498085,1999-04-01
2002-07-01,MSFT,rebuy,299.84598722839723,1999-07-01
2002-07-01,MSFT,rebuy,303.8551145847384,1999-10-01
2002-07-01,MSFT,rebuy,234.19446849740345,2000-01-01
2002-07-01,MSFT,rebuy,195.90681913846456,2000-04-01
2002-10-01,GE,trailing_stop_sell,355.88084207350664,2002-04-01
2002-10-01,GE,rebuy,267.9363240960932,2001-01-01
2002-10-01,GE,rebuy,305.73561045214865,2001-04-01
2002-10-01,GE,rebuy,1515.9407777628323,1995-01-01
2002-10-01,GE,rebuy,1421.0003142689545,1995-04-01
2002-10-01,GE,rebuy,1351.1697019936769,1995-07-01
2002-10-01,GE,rebuy,1187.2327685099508,1995-10-01
2002-10-01,GE,rebuy,1044.4915935498746,1996-01-01
2002-10-01,GE,rebuy,941.7751649691656,1996-04-01
2002-10-01,GE,rebuy,852.2290463170312,1996-07-01
2002-10-01,GE,rebuy,816.3664310638597,1996-10-01
2002-10-01,GE,rebuy,744.4814487906608,1997-01-01
2002-10-01,GE,rebuy,742.6141539065108,1997-04-01
2002-10-01,GE,rebuy,550.6790483859635,1997-07-01
2002-10-01,GE,rebuy,529.9568344864163,1997-10-01
2002-10-01,GE,rebuy,493.1001081498423,1998-01-01
2002-10-01,GE,rebuy,416.93675923863987,1998-04-01
2002-10-01,GE,rebuy,395.2184620152961,1998-07-01
2002-10-01,GE,rebuy,220.95338060017306,2000-07-01
2002-10-01,GE,rebuy,201.5577892048356,2000-10-01
2002-10-01,GE,rebuy,261.18535266836255,2001-07-01
2002-10-01,GE,rebuy,337.38668273125165,2001-10-01
2002-10-01,GE,rebuy,315.44080067127004,2002-01-01
2003-07-01,GE,rebuy,418.08991273680937,2002-04-01
2008-07-01,GE,trailing_stop_sell,326.96559975762824,2001-01-01
