# S&P 500 total-return level. <1988-01-04: ^GSPC daily price return + Shiller monthly dividends (http://www.econ.yale.edu/~shiller/data/ie_data.xls) accrued daily; >=1988-01-04: ^SP500TR daily returns. Built by sp500bt.index_tr.write_manual_csv()
date,close
1972-07-21,54.573998
1972-07-24,55.225243
1972-07-25,55.068045
1972-07-26,55.038774
1972-07-27,54.917367
1972-07-28,54.975112
1972-07-31,54.986789
1972-08-01,55.509647
1972-08-02,55.971107
1972-08-03,56.412129
1972-08-04,56.566373
1972-08-07,56.664286
1972-08-08,56.710981
1972-08-09,56.803789
1972-08-10,56.906857
1972-08-11,57.373765
1972-08-14,57.686978
1972-08-15,57.441541
1972-08-16,57.242220
1972-08-17,57.083884
1972-08-18,57.304936
1972-08-21,57.290141
1972-08-22,57.649691
1972-08-23,57.578480
1972-08-24,56.948195
1972-08-25,56.774380
1972-08-28,56.554378
1972-08-29,56.652448
1972-08-30,56.740263
1972-08-31,57.012826
1972-09-01,57.234965
1972-09-05,57.097836
1972-09-06,56.755359
1972-09-07,56.628464
1972-09-08,56.563171
1972-09-11,56.241115
1972-09-12,55.713592
1972-09-13,55.941045
1972-09-14,55.963047
1972-09-15,55.907989
1972-09-18,55.811822
1972-09-19,55.787585
1972-09-20,55.819875
1972-09-21,55.739093
1972-09-22,55.791953
1972-09-25,55.556919
1972-09-26,55.599510
1972-09-27,56.398038
1972-09-28,56.759502
1972-09-29,56.868977
1972-10-02,56.674401
1972-10-03,56.752475
1972-10-04,56.650469
1972-10-05,56.039019
1972-10-06,56.420757
1972-10-09,56.570921
1972-10-10,56.623297
1972-10-11,56.377096
1972-10-12,55.919774
1972-10-13,55.575684
1972-10-16,54.989520
1972-10-17,55.371547
1972-10-18,55.733011
1972-10-19,55.666947
1972-10-20,56.286084
1972-10-23,56.864070
1972-10-24,57.107168
1972-10-25,57.066846
1972-10-26,57.212065
1972-10-27,57.027403
1972-10-30,57.017994
1972-10-31,57.534481
1972-11-01,58.103239
1972-11-02,58.398748
1972-11-03,58.916062
1972-11-06,58.798988
1972-11-08,58.480707
1972-11-09,58.564819
1972-11-10,58.690221
1972-11-13,58.784671
1972-11-14,59.333306
1972-11-15,59.107757
1972-11-16,59.439702
1972-11-17,59.632291
1972-11-20,59.659672
1972-11-21,60.017551
1972-11-22,60.380637
1972-11-24,60.578474
1972-11-27,60.301091
1972-11-28,60.178664
1972-11-29,60.211227
1972-11-30,60.295472
1972-12-01,60.669542
1972-12-04,60.878260
1972-12-05,60.787189
1972-12-06,61.016635
1972-12-07,61.328834
1972-12-08,61.470427
1972-12-11,61.612037
1972-12-12,61.381259
1972-12-13,61.336674
1972-12-14,61.178270
1972-12-15,61.195769
1972-12-18,60.499161
1972-12-19,60.216492
1972-12-20,60.021783
1972-12-21,59.594109
1972-12-22,59.974017
1972-12-26,60.224526
1972-12-27,60.557916
1972-12-29,61.145120
1973-01-02,61.695463
1973-01-03,61.945419
1973-01-04,61.863838
1973-01-05,62.113846
1973-01-08,62.109972
1973-01-09,62.054278
1973-01-10,61.905283
1973-01-11,62.331630
1973-01-12,61.850836
1973-01-15,61.411465
1973-01-16,61.262408
