# AT&T Corp 1984-01..2005-11-18 total-return level (month-end); spinoff value reinvested via IRS basis allocations; first row = $18.00 first regular-way value (Wollman) dated 1983-12-30; 1998 month-ends log-interpolated between dividend-date prices: 1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12
date,close,nominal
1997-05-31,4.967198,36.750000
1997-06-30,4.738774,35.060000
1997-07-31,5.019911,36.810000
1997-08-31,5.318569,39.000000
1997-09-30,6.034530,44.250000
1997-10-31,6.710943,48.880000
1997-11-30,7.672003,55.880000
1997-12-31,8.417511,61.310000
1998-01-31,8.656136,62.718055
1998-02-28,8.583835,62.194198
1998-03-31,8.483588,61.467858
1998-04-30,8.433235,60.773025
1998-05-31,8.374873,60.352452
1998-06-30,8.320068,59.957506
1998-07-31,8.309606,59.552109
1998-08-31,8.387542,60.110655
1998-09-30,8.483244,60.796514
1998-10-31,8.629329,61.513456
1998-11-30,9.744121,69.460159
1998-12-31,11.137766,79.394644
1999-01-31,12.777030,90.750000
1999-02-28,11.563388,82.130000
1999-03-31,11.267721,79.810000
1999-04-30,10.741113,50.500000
1999-05-31,11.804590,55.500000
1999-06-30,11.870525,55.810000
1999-07-31,11.134599,52.130000
1999-08-31,9.611682,45.000000
1999-09-30,9.291292,43.500000
1999-10-31,10.032460,46.750000
1999-11-30,11.991740,55.880000
1999-12-31,10.903728,50.810000
2000-01-31,11.367260,52.750000
2000-02-29,10.641048,49.380000
2000-03-31,12.134415,56.310000
2000-04-30,9.934231,45.880000
2000-05-31,7.565432,34.940000
2000-06-30,6.887705,31.810000
2000-07-31,6.703657,30.740000
2000-08-31,6.897745,31.630000
2000-09-30,6.324205,29.000000
2000-10-31,5.065470,23.190000
2000-11-30,4.287847,19.630000
2000-12-31,3.767976,17.250000
2001-01-31,5.246333,23.980000
2001-02-28,5.031929,23.000000
2001-03-31,4.660004,21.300000
2001-04-30,4.882721,22.280000
2001-05-31,4.639462,21.170000
2001-06-30,4.821359,22.000000
2001-07-31,5.713884,20.210000
2001-08-31,5.383095,19.040000
2001-09-30,5.456604,19.300000
2001-10-31,4.322309,15.250000
2001-11-30,4.957192,17.490000
2001-12-31,5.141422,18.140000
2002-01-31,5.027483,17.700000
2002-02-28,4.413960,15.540000
2002-03-31,4.459406,15.700000
2002-04-30,3.737380,13.120000
2002-05-31,3.409789,11.970000
2002-06-30,3.048015,10.700000
2002-07-31,2.910712,10.180000
2002-08-31,3.493998,12.220000
2002-09-30,3.433954,12.010000
2002-10-31,3.733889,13.040000
2002-11-30,4.293587,28.040000
2002-12-31,3.998058,26.110000
2003-01-31,3.011636,19.480000
2003-02-28,2.866311,18.540000
2003-03-31,2.504543,16.200000
2003-04-30,2.665019,17.050000
2003-05-31,3.046406,19.490000
2003-06-30,3.008893,19.250000
2003-07-31,3.360113,21.260000
2003-08-31,3.524483,22.300000
2003-09-30,3.405947,21.550000
2003-10-31,2.975739,18.590000
2003-11-30,3.174228,19.830000
2003-12-31,3.249462,20.300000
2004-01-31,3.153098,19.460000
2004-02-29,3.245455,20.030000
2004-03-31,3.170922,19.570000
2004-04-30,2.817373,17.150000
2004-05-31,2.723734,16.580000
2004-06-30,2.403392,14.630000
2004-07-31,2.519536,15.100000
2004-08-31,2.466142,14.780000
2004-09-30,2.389388,14.320000
2004-10-31,2.894463,17.110000
2004-11-30,3.095773,18.300000
2004-12-31,3.224341,19.060000
2005-01-31,3.286425,19.190000
2005-02-28,3.327527,19.430000
2005-03-31,3.211072,18.750000
2005-04-30,3.316738,19.130000
2005-05-31,3.292465,18.990000
2005-06-30,3.301134,19.040000
2005-07-31,3.473993,19.800000
2005-08-31,3.452938,19.680000
2005-09-30,3.473993,19.800000
2005-10-31,3.512066,19.780000
2005-11-18,3.613273,20.350000
